movie_id	tconst	title	genres	year
249	tt0069947	The Day of the Jackal	Crime,Drama,Thriller	1973
250	tt0069995	Don't Look Now	Drama,Horror,Thriller	1973
251	tt0070034	Enter the Dragon	Action,Crime,Drama	1973
252	tt0070328	Live and Let Die	Action,Adventure,Thriller	1973
253	tt0070334	The Long Goodbye	Comedy,Crime,Drama	1973
254	tt0070355	Magnum Force	Action,Crime,Mystery	1973
255	tt0070379	Mean Streets	Crime,Drama,Thriller	1973
256	tt0070510	Paper Moon	Comedy,Drama	1973
257	tt0070511	Papillon	Biography,Crime,Drama	1973
258	tt0070608	Robin Hood	Adventure,Animation,Comedy	1973
259	tt0070666	Serpico	Biography,Crime,Drama	1973
260	tt0070735	The Sting	Comedy,Crime,Drama	1973
261	tt0070849	Last Tango in Paris	Drama,Romance	1972
262	tt0070909	Westworld	Action,Sci-Fi,Thriller	1973
263	tt0071129	Amarcord	Comedy,Drama	1973
264	tt0071230	Blazing Saddles	Comedy,Western	1974
265	tt0071315	Chinatown	Drama,Mystery,Thriller	1974
266	tt0071360	The Conversation	Drama,Mystery,Thriller	1974
267	tt0071402	Death Wish	Action,Crime,Drama	1974
268	tt0071562	The Godfather: Part II	Crime,Drama	1974
269	tt0071807	The Man with the Golden Gun	Action,Adventure,Thriller	1974
270	tt0071853	Monty Python and the Holy Grail	Adventure,Comedy,Fantasy	1975
271	tt0071877	Murder on the Orient Express	Crime,Drama,Mystery	1974
272	tt0072081	The Return of the Pink Panther	Comedy,Crime,Mystery	1975
273	tt0072251	The Taking of Pelham One Two Three	Action,Crime,Thriller	1974
274	tt0072308	The Towering Inferno	Action,Drama,Thriller	1974
275	tt0072431	Young Frankenstein	Comedy	1974
276	tt0072443	The Mirror	Biography,Drama	1975
277	tt0072684	Barry Lyndon	Adventure,Drama,History	1975
278	tt0072856	Death Race 2000	Action,Comedy,Sci-Fi	1975
279	tt0072890	Dog Day Afternoon	Biography,Crime,Drama	1975
280	tt0073486	One Flew Over the Cuckoo's Nest	Drama	1975
281	tt0073540	Picnic at Hanging Rock	Drama,Mystery	1975
282	tt0073629	The Rocky Horror Picture Show	Comedy,Musical	1975
283	tt0073631	Rollerball	Action,Sci-Fi,Sport	1975
284	tt0073650	Salò, or the 120 Days of Sodom	Drama,Horror,War	1975
285	tt0073707	Sholay	Action,Adventure,Comedy	1975
286	tt0074119	All the President's Men	Biography,Drama,History	1976
287	tt0074156	Assault on Precinct 13	Action,Crime,Thriller	1976
288	tt0074483	The Enforcer	Action,Crime,Thriller	1976
289	tt0074812	Logan's Run	Action,Sci-Fi	1976
290	tt0074896	The Message	Biography,Drama,History	1976
291	tt0074937	Murder by Death	Comedy,Crime,Mystery	1976
292	tt0074958	Network	Drama	1976
293	tt0075066	The Pink Panther Strikes Again	Comedy,Crime	1976
294	tt0075148	Rocky	Drama,Sport	1976
295	tt0075314	Taxi Driver	Crime,Drama	1976
296	tt0075784	A Bridge Too Far	Drama,History,War	1977
297	tt0075860	Close Encounters of the Third Kind	Drama,Sci-Fi	1977
298	tt0076363	The Many Adventures of Winnie the Pooh	Adventure,Animation,Comedy	1977
299	tt0076618	The Rescuers	Adventure,Animation,Comedy	1977
300	tt0076666	Saturday Night Fever	Drama,Music	1977
301	tt0076723	Slap Shot	Comedy,Drama,Sport	1977
302	tt0076729	Smokey and the Bandit	Action,Comedy	1977
303	tt0076752	The Spy Who Loved Me	Action,Adventure,Thriller	1977
304	tt0076759	Star Wars: Episode IV - A New Hope	Action,Adventure,Fantasy	1977
305	tt0077294	Capricorn One	Action,Adventure,Drama	1977
306	tt0077405	Days of Heaven	Drama,Romance	1978
307	tt0077413	Death on the Nile	Crime,Drama,Mystery	1978
308	tt0077416	The Deer Hunter	Drama,War	1978
309	tt0077523	Every Which Way but Loose	Action,Comedy	1978
310	tt0077928	Midnight Express	Biography,Crime,Drama	1978
311	tt0077975	National Lampoon's Animal House	Comedy	1978
312	tt0078346	Superman	Action,Adventure,Drama	1978
313	tt0078446	Up in Smoke	Comedy,Music	1978
314	tt0078480	Watership Down	Adventure,Animation,Drama	1978
315	tt0078718	And Justice for All	Crime,Drama,Thriller	1979
316	tt0078723	1941	Action,Comedy,War	1979
317	tt0078754	All That Jazz	Drama,Music,Musical	1979
318	tt0078788	Apocalypse Now	Drama,Mystery,War	1979
319	tt0078841	Being There	Comedy,Drama	1979
320	tt0078869	The Black Hole	Action,Sci-Fi	1979
321	tt0078966	The China Syndrome	Drama,Thriller	1979
322	tt0079116	Escape from Alcatraz	Biography,Crime,Drama	1979
323	tt0079261	Hair	Comedy,Drama,Musical	1979
324	tt0079367	The Jerk	Comedy	1979
325	tt0079417	Kramer vs. Kramer	Drama	1979
326	tt0079470	Monty Python's Life of Brian	Comedy	1979
327	tt0079501	Mad Max	Action,Adventure,Sci-Fi	1979
328	tt0079574	Moonraker	Action,Adventure,Sci-Fi	1979
329	tt0079588	The Muppet Movie	Adventure,Comedy,Family	1979
330	tt0079641	Nosferatu the Vampyre	Drama,Horror	1979
331	tt0079944	Stalker	Drama,Sci-Fi	1979
332	tt0080120	The Warriors	Action,Crime,Thriller	1979
333	tt0080179	Drunken Master	Action,Comedy	1978
334	tt0080319	9 to 5	Comedy	1980
335	tt0080339	Airplane!	Comedy	1980
336	tt0080453	The Blue Lagoon	Adventure,Drama,Romance	1980
337	tt0080455	The Blues Brothers	Adventure,Comedy,Crime	1980
338	tt0080487	Caddyshack	Comedy,Sport	1980
339	tt0080491	Caligula	Drama,History	1979
340	tt0080678	The Elephant Man	Biography,Drama	1980
341	tt0080684	Star Wars: Episode V - The Empire Strikes Back	Action,Adventure,Fantasy	1980
342	tt0080736	The Final Countdown	Action,Sci-Fi	1980
343	tt0080745	Flash Gordon	Action,Adventure,Sci-Fi	1980
344	tt0080801	The Gods Must Be Crazy	Adventure,Comedy	1980
345	tt0080979	Kagemusha	Drama,History,War	1980
346	tt0081283	Ordinary People	Drama	1980
347	tt0081353	Popeye	Adventure,Comedy,Family	1980
348	tt0081398	Raging Bull	Biography,Drama,Sport	1980
349	tt0081505	The Shining	Drama,Horror	1980
350	tt0081562	Stir Crazy	Comedy,Crime	1980
351	tt0081573	Superman II	Action,Adventure,Sci-Fi	1980
352	tt0081633	Time Bandits	Adventure,Comedy,Fantasy	1981
353	tt0082010	An American Werewolf in London	Comedy,Horror	1981
354	tt0082031	Arthur	Comedy,Romance	1981
355	tt0082089	Body Heat	Crime,Drama,Romance	1981
356	tt0082096	Das Boot	Adventure,Drama,Thriller	1981
357	tt0082136	The Cannonball Run	Action,Comedy,Sport	1981
358	tt0082158	Chariots of Fire	Biography,Drama,Sport	1981
359	tt0082186	Clash of the Titans	Action,Adventure,Family	1981
360	tt0082198	Conan the Barbarian	Action,Adventure,Fantasy	1982
361	tt0082340	Escape from New York	Action,Adventure,Sci-Fi	1981
362	tt0082348	Excalibur	Adventure,Drama,Fantasy	1981
363	tt0082398	For Your Eyes Only	Action,Adventure,Thriller	1981
364	tt0082406	The Fox and the Hound	Adventure,Animation,Drama	1981
365	tt0082432	Gallipoli	Adventure,Drama,History	1981
366	tt0082694	Mad Max 2: The Road Warrior	Action,Adventure,Sci-Fi	1981
367	tt0082846	On Golden Pond	Drama	1981
368	tt0082869	Outland	Action,Crime,Sci-Fi	1981
369	tt0082971	Raiders of the Lost Ark	Action,Adventure	1981
370	tt0083131	Stripes	Comedy,War	1981
371	tt0083190	Thief	Action,Crime,Drama	1981
