(T) | Epoch=039, loss=7.9975, con=7.2554, intent=2.4569, rec=0.0080, ilssc=5.0717, il_q=8, il_seed=0.980, il_sim=0.494, il_conn=0.005, il_uniq=8.0, il_neg=0.394, this epoch 0.6826, total 29.4817
(T) | Epoch=040, loss=8.0091, con=7.2607, intent=2.4559, rec=0.0079, ilssc=5.1393, il_q=8, il_seed=0.980, il_sim=0.442, il_conn=0.010, il_uniq=8.0, il_neg=0.367, this epoch 0.6861, total 30.1678  alpha=[pap:0.574, psp:0.426]
(T) | Epoch=041, loss=7.9726, con=7.2265, intent=2.4551, rec=0.0102, ilssc=5.1142, il_q=8, il_seed=0.979, il_sim=0.473, il_conn=0.008, il_uniq=8.0, il_neg=0.387, this epoch 0.7372, total 30.9050
(T) | Epoch=042, loss=7.9566, con=7.2183, intent=2.4540, rec=0.0110, ilssc=5.0362, il_q=8, il_seed=0.979, il_sim=0.508, il_conn=0.011, il_uniq=8.0, il_neg=0.384, this epoch 0.6820, total 31.5871
(T) | Epoch=043, loss=8.0388, con=7.2908, intent=2.4539, rec=0.0091, ilssc=5.1342, il_q=8, il_seed=0.979, il_sim=0.468, il_conn=0.006, il_uniq=8.0, il_neg=0.379, this epoch 0.6869, total 32.2739
(T) | Epoch=044, loss=8.0197, con=7.2936, intent=2.4554, rec=0.0091, ilssc=4.9107, il_q=8, il_seed=0.980, il_sim=0.547, il_conn=0.002, il_uniq=8.0, il_neg=0.360, this epoch 0.6874, total 32.9613
(T) | Epoch=045, loss=7.9627, con=7.2246, intent=2.4572, rec=0.0072, ilssc=5.0282, il_q=8, il_seed=0.978, il_sim=0.497, il_conn=0.003, il_uniq=8.0, il_neg=0.363, this epoch 0.6976, total 33.6589
(T) | Epoch=046, loss=7.9746, con=7.2353, intent=2.4585, rec=0.0073, ilssc=5.0354, il_q=8, il_seed=0.977, il_sim=0.515, il_conn=0.003, il_uniq=8.0, il_neg=0.389, this epoch 0.6781, total 34.3370
(T) | Epoch=047, loss=8.0155, con=7.2736, intent=2.4593, rec=0.0084, ilssc=5.0569, il_q=8, il_seed=0.976, il_sim=0.512, il_conn=0.002, il_uniq=8.0, il_neg=0.396, this epoch 0.6801, total 35.0171
(T) | Epoch=048, loss=7.9586, con=7.2208, intent=2.4610, rec=0.0081, ilssc=5.0110, il_q=8, il_seed=0.976, il_sim=0.490, il_conn=0.005, il_uniq=8.0, il_neg=0.353, this epoch 0.6831, total 35.7002
(T) | Epoch=049, loss=7.9847, con=7.2340, intent=2.4606, rec=0.0102, ilssc=5.1373, il_q=8, il_seed=0.975, il_sim=0.475, il_conn=0.005, il_uniq=8.0, il_neg=0.401, this epoch 0.6771, total 36.3773
(T) | Epoch=050, loss=8.1058, con=7.3532, intent=2.4576, rec=0.0089, ilssc=5.1640, il_q=8, il_seed=0.975, il_sim=0.500, il_conn=0.017, il_uniq=8.0, il_neg=0.422, this epoch 0.6838, total 37.0610  alpha=[pap:0.668, psp:0.332]
(T) | Epoch=051, loss=8.1464, con=7.3949, intent=2.4533, rec=0.0085, ilssc=5.1597, il_q=8, il_seed=0.976, il_sim=0.498, il_conn=0.017, il_uniq=8.0, il_neg=0.434, this epoch 0.6864, total 37.7474
(T) | Epoch=052, loss=8.0943, con=7.3521, intent=2.4475, rec=0.0073, ilssc=5.0771, il_q=8, il_seed=0.979, il_sim=0.579, il_conn=0.004, il_uniq=8.0, il_neg=0.464, this epoch 0.6805, total 38.4279
(T) | Epoch=053, loss=8.0326, con=7.2906, intent=2.4422, rec=0.0095, ilssc=5.0784, il_q=8, il_seed=0.980, il_sim=0.569, il_conn=0.001, il_uniq=8.0, il_neg=0.457, this epoch 0.6800, total 39.1079
(T) | Epoch=054, loss=7.9791, con=7.2546, intent=2.4384, rec=0.0090, ilssc=4.9082, il_q=8, il_seed=0.983, il_sim=0.687, il_conn=0.001, il_uniq=8.0, il_neg=0.479, this epoch 0.6873, total 39.7952
(T) | Epoch=055, loss=8.0233, con=7.2846, intent=2.4372, rec=0.0090, ilssc=5.0523, il_q=7, il_seed=0.982, il_sim=0.574, il_conn=0.001, il_uniq=8.0, il_neg=0.444, this epoch 0.6760, total 40.4712
(T) | Epoch=056, loss=8.0456, con=7.3048, intent=2.4367, rec=0.0123, ilssc=5.0713, il_q=8, il_seed=0.982, il_sim=0.610, il_conn=0.004, il_uniq=8.0, il_neg=0.484, this epoch 0.6903, total 41.1614
(T) | Epoch=057, loss=7.9921, con=7.2426, intent=2.4372, rec=0.0122, ilssc=5.1554, il_q=8, il_seed=0.981, il_sim=0.492, il_conn=0.001, il_uniq=8.0, il_neg=0.411, this epoch 0.6882, total 41.8496
(T) | Epoch=058, loss=7.9559, con=7.2108, intent=2.4372, rec=0.0106, ilssc=5.1093, il_q=8, il_seed=0.981, il_sim=0.540, il_conn=0.003, il_uniq=8.0, il_neg=0.444, this epoch 0.6825, total 42.5321
(T) | Epoch=059, loss=8.0644, con=7.3190, intent=2.4369, rec=0.0153, ilssc=5.1018, il_q=8, il_seed=0.982, il_sim=0.549, il_conn=0.008, il_uniq=8.0, il_neg=0.445, this epoch 0.6853, total 43.2174
(T) | Epoch=060, loss=8.1222, con=7.3829, intent=2.4363, rec=0.0127, ilssc=5.0414, il_q=8, il_seed=0.981, il_sim=0.559, il_conn=0.002, il_uniq=8.0, il_neg=0.418, this epoch 0.6825, total 43.8999  alpha=[pap:0.673, psp:0.327]
