(T) | Epoch=122, loss=7.3435, con=7.1067, intent=2.3418, rec=0.0118, this epoch 0.6335, total 77.7432
(T) | Epoch=123, loss=7.3667, con=7.1296, intent=2.3424, rec=0.0142, this epoch 0.6307, total 78.3739
(T) | Epoch=124, loss=7.3652, con=7.1282, intent=2.3403, rec=0.0138, this epoch 0.6330, total 79.0069
(T) | Epoch=125, loss=7.3347, con=7.0978, intent=2.3395, rec=0.0122, this epoch 0.6328, total 79.6397
(T) | Epoch=126, loss=7.3113, con=7.0745, intent=2.3404, rec=0.0120, this epoch 0.6321, total 80.2718
(T) | Epoch=127, loss=7.3279, con=7.0909, intent=2.3395, rec=0.0142, this epoch 0.6336, total 80.9054
(T) | Epoch=128, loss=7.3626, con=7.1257, intent=2.3383, rec=0.0135, this epoch 0.6351, total 81.5404
(T) | Epoch=129, loss=7.3694, con=7.1326, intent=2.3354, rec=0.0148, this epoch 0.6339, total 82.1744
(T) | Epoch=130, loss=7.3514, con=7.1147, intent=2.3337, rec=0.0140, this epoch 0.6354, total 82.8098  alpha=[mam:0.000, mdm:1.000]
(T) | Epoch=131, loss=7.3603, con=7.1240, intent=2.3343, rec=0.0125, this epoch 0.6369, total 83.4468
(T) | Epoch=132, loss=7.4062, con=7.1700, intent=2.3324, rec=0.0132, this epoch 0.6364, total 84.0832
(T) | Epoch=133, loss=7.4370, con=7.2010, intent=2.3287, rec=0.0124, this epoch 0.6358, total 84.7191
(T) | Epoch=134, loss=7.4196, con=7.1836, intent=2.3297, rec=0.0104, this epoch 0.6344, total 85.3534
(T) | Epoch=135, loss=7.3770, con=7.1408, intent=2.3321, rec=0.0108, this epoch 0.6371, total 85.9906
(T) | Epoch=136, loss=7.3474, con=7.1112, intent=2.3334, rec=0.0093, this epoch 0.6346, total 86.6251
(T) | Epoch=137, loss=7.3434, con=7.1076, intent=2.3323, rec=0.0082, this epoch 0.6389, total 87.2641
(T) | Epoch=138, loss=7.3569, con=7.1215, intent=2.3306, rec=0.0073, this epoch 0.6364, total 87.9004
(T) | Epoch=139, loss=7.3785, con=7.1426, intent=2.3331, rec=0.0102, this epoch 0.6360, total 88.5365
(T) | Epoch=140, loss=7.3989, con=7.1633, intent=2.3298, rec=0.0101, this epoch 0.6450, total 89.1815  alpha=[mam:0.000, mdm:1.000]
(T) | Epoch=141, loss=7.4121, con=7.1761, intent=2.3293, rec=0.0113, this epoch 0.6859, total 89.8674
(T) | Epoch=142, loss=7.4164, con=7.1808, intent=2.3281, rec=0.0124, this epoch 0.6324, total 90.4998
(T) | Epoch=143, loss=7.4254, con=7.1902, intent=2.3266, rec=0.0105, this epoch 0.6269, total 91.1266
(T) | Epoch=144, loss=7.4530, con=7.2176, intent=2.3253, rec=0.0150, this epoch 0.6367, total 91.7633
(T) | Epoch=145, loss=7.4848, con=7.2498, intent=2.3235, rec=0.0134, this epoch 0.6368, total 92.4001
(T) | Epoch=146, loss=7.4761, con=7.2410, intent=2.3222, rec=0.0156, this epoch 0.6377, total 93.0379
(T) | Epoch=147, loss=7.4120, con=7.1772, intent=2.3221, rec=0.0132, this epoch 0.6378, total 93.6756
(T) | Epoch=148, loss=7.3526, con=7.1179, intent=2.3241, rec=0.0088, this epoch 0.6366, total 94.3122
(T) | Epoch=149, loss=7.3718, con=7.1368, intent=2.3247, rec=0.0092, this epoch 0.6346, total 94.9468
(T) | Epoch=150, loss=7.4282, con=7.1928, intent=2.3296, rec=0.0094, this epoch 0.6355, total 95.5824  alpha=[mam:0.000, mdm:1.000]
(T) | Epoch=151, loss=7.4568, con=7.2215, intent=2.3268, rec=0.0108, this epoch 0.6361, total 96.2184
(T) | Epoch=152, loss=7.4620, con=7.2264, intent=2.3290, rec=0.0126, this epoch 0.6379, total 96.8564
(T) | Epoch=153, loss=7.4813, con=7.2459, intent=2.3262, rec=0.0126, this epoch 0.6350, total 97.4914
(T) | Epoch=154, loss=7.5177, con=7.2821, intent=2.3231, rec=0.0167, this epoch 0.6391, total 98.1305
(T) | Epoch=155, loss=7.5350, con=7.2993, intent=2.3235, rec=0.0172, this epoch 0.6373, total 98.7678
(T) | Epoch=156, loss=7.5060, con=7.2709, intent=2.3188, rec=0.0164, this epoch 0.6368, total 99.4046
(T) | Epoch=157, loss=7.4516, con=7.2165, intent=2.3177, rec=0.0170, this epoch 0.6373, total 100.0419
(T) | Epoch=158, loss=7.4101, con=7.1754, intent=2.3181, rec=0.0119, this epoch 0.6417, total 100.6835
(T) | Epoch=159, loss=7.4052, con=7.1702, intent=2.3190, rec=0.0144, this epoch 0.6379, total 101.3214
(T) | Epoch=160, loss=7.4160, con=7.1814, intent=2.3177, rec=0.0124, this epoch 0.6353, total 101.9568  alpha=[mam:0.000, mdm:1.000]
(T) | Epoch=161, loss=7.4179, con=7.1834, intent=2.3174, rec=0.0121, this epoch 0.6793, total 102.6360
(T) | Epoch=162, loss=7.4070, con=7.1727, intent=2.3175, rec=0.0100, this epoch 0.6396, total 103.2756
(T) | Epoch=163, loss=7.4000, con=7.1655, intent=2.3177, rec=0.0104, this epoch 0.6373, total 103.9129
(T) | Epoch=164, loss=7.4027, con=7.1682, intent=2.3172, rec=0.0110, this epoch 0.6377, total 104.5506
(T) | Epoch=165, loss=7.4063, con=7.1717, intent=2.3169, rec=0.0111, this epoch 0.6418, total 105.1924
(T) | Epoch=166, loss=7.4150, con=7.1806, intent=2.3190, rec=0.0094, this epoch 0.6368, total 105.8291
(T) | Epoch=167, loss=7.4460, con=7.2122, intent=2.3148, rec=0.0087, this epoch 0.6364, total 106.4655
(T) | Epoch=168, loss=7.4962, con=7.2625, intent=2.3128, rec=0.0098, this epoch 0.6378, total 107.1033
(T) | Epoch=169, loss=7.5292, con=7.2957, intent=2.3110, rec=0.0102, this epoch 0.6408, total 107.7441
(T) | Epoch=170, loss=7.5128, con=7.2795, intent=2.3085, rec=0.0104, this epoch 0.6361, total 108.3803  alpha=[mam:0.000, mdm:1.000]
(T) | Epoch=171, loss=7.4578, con=7.2248, intent=2.3074, rec=0.0096, this epoch 0.6369, total 109.0172
(T) | Epoch=172, loss=7.4072, con=7.1742, intent=2.3079, rec=0.0101, this epoch 0.6341, total 109.6513
(T) | Epoch=173, loss=7.3847, con=7.1514, intent=2.3110, rec=0.0091, this epoch 0.6373, total 110.2887
(T) | Epoch=174, loss=7.3795, con=7.1459, intent=2.3102, rec=0.0093, this epoch 0.6398, total 110.9285
(T) | Epoch=175, loss=7.3770, con=7.1433, intent=2.3100, rec=0.0086, this epoch 0.6394, total 111.5679
(T) | Epoch=176, loss=7.3717, con=7.1384, intent=2.3090, rec=0.0079, this epoch 0.6346, total 112.2025
(T) | Epoch=177, loss=7.3731, con=7.1398, intent=2.3096, rec=0.0080, this epoch 0.6368, total 112.8393
(T) | Epoch=178, loss=7.3827, con=7.1493, intent=2.3090, rec=0.0084, this epoch 0.6388, total 113.4781
(T) | Epoch=179, loss=7.3936, con=7.1598, intent=2.3125, rec=0.0088, this epoch 0.6371, total 114.1152
(T) | Epoch=180, loss=7.4038, con=7.1708, intent=2.3060, rec=0.0087, this epoch 0.6388, total 114.7540  alpha=[mam:0.000, mdm:1.000]
(T) | Epoch=181, loss=7.4185, con=7.1858, intent=2.3048, rec=0.0083, this epoch 0.6798, total 115.4338
(T) | Epoch=182, loss=7.4263, con=7.1933, intent=2.3042, rec=0.0096, this epoch 0.6395, total 116.0733
(T) | Epoch=183, loss=7.4119, con=7.1790, intent=2.3034, rec=0.0092, this epoch 0.6403, total 116.7136
(T) | Epoch=184, loss=7.3839, con=7.1511, intent=2.3018, rec=0.0090, this epoch 0.6357, total 117.3492
(T) | Epoch=185, loss=7.3685, con=7.1358, intent=2.3013, rec=0.0097, this epoch 0.6383, total 117.9876
(T) | Epoch=186, loss=7.3795, con=7.1466, intent=2.3041, rec=0.0087, this epoch 0.6364, total 118.6239
(T) | Epoch=187, loss=7.3993, con=7.1665, intent=2.3019, rec=0.0091, this epoch 0.6387, total 119.2626
(T) | Epoch=188, loss=7.4109, con=7.1781, intent=2.3018, rec=0.0103, this epoch 0.6403, total 119.9030
(T) | Epoch=189, loss=7.4245, con=7.1916, intent=2.3032, rec=0.0099, this epoch 0.6370, total 120.5400
(T) | Epoch=190, loss=7.4490, con=7.2161, intent=2.3045, rec=0.0102, this epoch 0.6381, total 121.1780  alpha=[mam:0.000, mdm:1.000]
(T) | Epoch=191, loss=7.4618, con=7.2291, intent=2.3026, rec=0.0098, this epoch 0.6367, total 121.8147
(T) | Epoch=192, loss=7.4452, con=7.2128, intent=2.3012, rec=0.0077, this epoch 0.6364, total 122.4511
(T) | Epoch=193, loss=7.4239, con=7.1916, intent=2.2999, rec=0.0092, this epoch 0.6415, total 123.0926
(T) | Epoch=194, loss=7.4290, con=7.1966, intent=2.2984, rec=0.0120, this epoch 0.6367, total 123.7293
(T) | Epoch=195, loss=7.4532, con=7.2206, intent=2.2978, rec=0.0138, this epoch 0.6380, total 124.3673
(T) | Epoch=196, loss=7.4592, con=7.2268, intent=2.2977, rec=0.0134, this epoch 0.6346, total 125.0019
(T) | Epoch=197, loss=7.4290, con=7.1969, intent=2.2970, rec=0.0128, this epoch 0.6392, total 125.6411
(T) | Epoch=198, loss=7.3803, con=7.1483, intent=2.2972, rec=0.0109, this epoch 0.6357, total 126.2768
(T) | Epoch=199, loss=7.3449, con=7.1127, intent=2.2982, rec=0.0091, this epoch 0.6384, total 126.9152
(T) | Epoch=200, loss=7.3412, con=7.1087, intent=2.2995, rec=0.0100, this epoch 0.6373, total 127.5525  alpha=[mam:0.000, mdm:1.000]
