(T) | Epoch=046, loss=6.8334, con=6.6093, intent=2.4206, rec=0.0001, this epoch 0.9190, total 42.8321
(T) | Epoch=047, loss=6.8326, con=6.6088, intent=2.4171, rec=0.0001, this epoch 0.9158, total 43.7479
(T) | Epoch=048, loss=6.8291, con=6.6056, intent=2.4156, rec=0.0001, this epoch 0.9226, total 44.6705
(T) | Epoch=049, loss=6.8239, con=6.6008, intent=2.4126, rec=0.0001, this epoch 0.9161, total 45.5867
(T) | Epoch=050, loss=6.8213, con=6.5982, intent=2.4145, rec=0.0001, this epoch 0.9146, total 46.5013  alpha=[apa:0.163, apcpa:0.454, aptpa:0.383]
(T) | Epoch=051, loss=6.8217, con=6.5993, intent=2.4085, rec=0.0001, this epoch 0.9157, total 47.4170
(T) | Epoch=052, loss=6.8236, con=6.6014, intent=2.4062, rec=0.0001, this epoch 0.9156, total 48.3326
(T) | Epoch=053, loss=6.8244, con=6.6018, intent=2.4102, rec=0.0001, this epoch 0.9149, total 49.2475
(T) | Epoch=054, loss=6.8220, con=6.6002, intent=2.4034, rec=0.0001, this epoch 0.9159, total 50.1634
(T) | Epoch=055, loss=6.8208, con=6.5989, intent=2.4034, rec=0.0001, this epoch 0.9187, total 51.0821
(T) | Epoch=056, loss=6.8210, con=6.5992, intent=2.4015, rec=0.0001, this epoch 0.9237, total 52.0058
(T) | Epoch=057, loss=6.8206, con=6.5989, intent=2.4005, rec=0.0001, this epoch 0.9165, total 52.9223
(T) | Epoch=058, loss=6.8182, con=6.5964, intent=2.4005, rec=0.0001, this epoch 0.9173, total 53.8396
(T) | Epoch=059, loss=6.8150, con=6.5934, intent=2.3982, rec=0.0001, this epoch 0.9178, total 54.7575
(T) | Epoch=060, loss=6.8136, con=6.5921, intent=2.3968, rec=0.0001, this epoch 0.9183, total 55.6757  alpha=[apa:0.159, apcpa:0.462, aptpa:0.379]
(T) | Epoch=061, loss=6.8135, con=6.5920, intent=2.3964, rec=0.0001, this epoch 0.9878, total 56.6635
(T) | Epoch=062, loss=6.8126, con=6.5912, intent=2.3947, rec=0.0001, this epoch 0.9190, total 57.5825
(T) | Epoch=063, loss=6.8098, con=6.5887, intent=2.3910, rec=0.0001, this epoch 0.9181, total 58.5006
(T) | Epoch=064, loss=6.8074, con=6.5864, intent=2.3891, rec=0.0001, this epoch 0.9195, total 59.4200
(T) | Epoch=065, loss=6.8084, con=6.5873, intent=2.3900, rec=0.0001, this epoch 0.9187, total 60.3388
(T) | Epoch=066, loss=6.8122, con=6.5911, intent=2.3890, rec=0.0001, this epoch 0.9185, total 61.2572
(T) | Epoch=067, loss=6.8145, con=6.5935, intent=2.3882, rec=0.0001, this epoch 0.9219, total 62.1791
