[log] 运行日志写入: log\run_ACM_20260718_071845.log
Using CPU
Using CPU
  [cs_full_graph] ACM: merged ['pap.npz', 'psp.npz'] -> 4359766 directed edges (no sparsify)
  [sparsify] psp.npz: 4338213 -> 344296 edges (avg_deg 1079 -> 86, top-k=50)
[data] 多关系 R=2: pap(53834 edges), psp(344296 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=4 icra_heads=4 icra_dim=128
[IGQC] 全量图邻接表就绪, lambda=0.5, pos=20 neg=512 B=8 gate=True
(T) | Epoch=057, loss=10.9646, con=7.3108, intent=2.3955, rec=0.0150, igqc=5.6401, this epoch 140.4548, total 7735.5653
(T) | Epoch=058, loss=11.1818, con=7.3608, intent=2.3928, rec=0.0172, igqc=5.9860, this epoch 130.6813, total 7866.2465
(T) | Epoch=059, loss=10.9887, con=7.2733, intent=2.3901, rec=0.0217, igqc=5.7837, this epoch 141.7557, total 8008.0023
(T) | Epoch=060, loss=10.9233, con=7.1681, intent=2.3879, rec=0.0255, igqc=5.8750, this epoch 128.6241, total 8136.6264  alpha=[pap:0.822, psp:0.178]
(T) | Epoch=061, loss=11.0082, con=7.3271, intent=2.3859, rec=0.0273, igqc=5.7450, this epoch 131.6307, total 8268.2571
(T) | Epoch=062, loss=11.0447, con=7.4474, intent=2.3835, rec=0.0294, igqc=5.5974, this epoch 131.0137, total 8399.2709
(T) | Epoch=063, loss=11.2975, con=7.4083, intent=2.3816, rec=0.0288, igqc=6.1892, this epoch 136.9568, total 8536.2276
(T) | Epoch=064, loss=11.0184, con=7.4079, intent=2.3798, rec=0.0299, igqc=5.6368, this epoch 124.1912, total 8660.4188
(T) | Epoch=065, loss=11.2024, con=7.4790, intent=2.3781, rec=0.0289, igqc=5.8647, this epoch 126.2723, total 8786.6911
(T) | Epoch=066, loss=11.1595, con=7.4428, intent=2.3755, rec=0.0286, igqc=5.8522, this epoch 134.2304, total 8920.9216
(T) | Epoch=067, loss=11.1340, con=7.3150, intent=2.3737, rec=0.0322, igqc=6.0567, this epoch 127.9771, total 9048.8987
(T) | Epoch=068, loss=11.0225, con=7.3331, intent=2.3707, rec=0.0336, igqc=5.8007, this epoch 130.9000, total 9179.7987
(T) | Epoch=069, loss=11.0638, con=7.4101, intent=2.3682, rec=0.0393, igqc=5.7309, this epoch 132.9897, total 9312.7884
(T) | Epoch=070, loss=11.0760, con=7.3929, intent=2.3665, rec=0.0324, igqc=5.7836, this epoch 129.9415, total 9442.7299  alpha=[pap:0.833, psp:0.167]
(T) | Epoch=071, loss=10.8848, con=7.3394, intent=2.3657, rec=0.0270, igqc=5.4949, this epoch 130.9571, total 9573.6870
(T) | Epoch=072, loss=10.9655, con=7.3520, intent=2.3651, rec=0.0294, igqc=5.6155, this epoch 132.2606, total 9705.9476
(T) | Epoch=073, loss=10.9730, con=7.3733, intent=2.3654, rec=0.0237, igqc=5.5731, this epoch 134.5721, total 9840.5197
(T) | Epoch=074, loss=11.0236, con=7.3258, intent=2.3652, rec=0.0235, igqc=5.7592, this epoch 133.7066, total 9974.2263
(T) | Epoch=075, loss=10.8266, con=7.2380, intent=2.3641, rec=0.0232, igqc=5.5358, this epoch 130.7563, total 10104.9826
(T) | Epoch=076, loss=10.8405, con=7.2209, intent=2.3621, rec=0.0239, igqc=5.5979, this epoch 123.7676, total 10228.7501
(T) | Epoch=077, loss=11.1515, con=7.3102, intent=2.3604, rec=0.0232, igqc=6.0480, this epoch 136.1728, total 10364.9229
(T) | Epoch=078, loss=11.1265, con=7.4027, intent=2.3576, rec=0.0250, igqc=5.8251, this epoch 127.3568, total 10492.2797
