[log] 运行日志写入: log\run_ACM_20260714_095128.log
Using CPU
Using CPU
  [sparsify] psp.npz: 4338213 -> 344296 edges (avg_deg 1079 -> 86, top-k=50)
[data] 多关系 R=2: pap(53834 edges), psp(344296 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=4 icra_heads=4 icra_dim=128
(T) | Epoch=070, loss=8.0481, con=7.2169, intent=2.3593, rec=0.0077, this epoch 130.8469, total 10690.0827  alpha=[pap:0.816, psp:0.184]
(T) | Epoch=071, loss=8.0756, con=7.2466, intent=2.3581, rec=0.0099, this epoch 126.4074, total 10816.4901
(T) | Epoch=072, loss=8.0567, con=7.2293, intent=2.3559, rec=0.0102, this epoch 132.8524, total 10949.3425
(T) | Epoch=073, loss=8.0579, con=7.2316, intent=2.3545, rec=0.0124, this epoch 128.5792, total 11077.9217
(T) | Epoch=074, loss=8.1341, con=7.3099, intent=2.3534, rec=0.0138, this epoch 123.0427, total 11200.9644
(T) | Epoch=075, loss=8.1498, con=7.3259, intent=2.3529, rec=0.0147, this epoch 125.6582, total 11326.6227
(T) | Epoch=076, loss=8.0531, con=7.2267, intent=2.3521, rec=0.0124, this epoch 125.7028, total 11452.3255
(T) | Epoch=077, loss=7.9629, con=7.1316, intent=2.3517, rec=0.0129, this epoch 118.1284, total 11570.4539
(T) | Epoch=078, loss=8.0332, con=7.1999, intent=2.3504, rec=0.0130, this epoch 124.4524, total 11694.9062
(T) | Epoch=079, loss=8.1399, con=7.3075, intent=2.3501, rec=0.0124, this epoch 118.6348, total 11813.5410
(T) | Epoch=080, loss=8.1467, con=7.3158, intent=2.3500, rec=0.0128, this epoch 122.8824, total 11936.4233  alpha=[pap:0.825, psp:0.175]
(T) | Epoch=081, loss=8.0911, con=7.2619, intent=2.3504, rec=0.0130, this epoch 124.6427, total 12061.0660
(T) | Epoch=082, loss=8.0671, con=7.2418, intent=2.3497, rec=0.0122, this epoch 120.1576, total 12181.2236
(T) | Epoch=083, loss=8.0677, con=7.2474, intent=2.3475, rec=0.0122, this epoch 127.7128, total 12308.9365
(T) | Epoch=084, loss=8.0659, con=7.2497, intent=2.3451, rec=0.0121, this epoch 125.0216, total 12433.9581
