(T) | Epoch=027, loss=7.1309, con=6.6334, intent=2.4580, rec=0.0001, ilssc=4.7614, il_lam=0.0567, il_q=8, il_seed=0.974, il_sim=0.272, il_conn=0.000, il_dist=0.000, il_high=0.772, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.085, il_neg_dist=0.000, il_neg_high=0.447, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 3.1310, total 65.2483
(T) | Epoch=028, loss=7.1495, con=6.6380, intent=2.4591, rec=0.0001, ilssc=4.7260, il_lam=0.0600, il_q=8, il_seed=0.976, il_sim=0.277, il_conn=0.000, il_dist=0.000, il_high=0.782, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.067, il_neg_dist=0.000, il_neg_high=0.454, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.5309, total 67.7792
(T) | Epoch=029, loss=7.1550, con=6.6376, intent=2.4535, rec=0.0001, ilssc=4.5778, il_lam=0.0633, il_q=8, il_seed=0.977, il_sim=0.298, il_conn=0.000, il_dist=0.000, il_high=0.740, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.078, il_neg_dist=0.000, il_neg_high=0.416, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 3.3154, total 71.0946
(T) | Epoch=030, loss=7.1761, con=6.6338, intent=2.4528, rec=0.0001, ilssc=4.7231, il_lam=0.0667, il_q=8, il_seed=0.976, il_sim=0.286, il_conn=0.000, il_dist=0.000, il_high=0.760, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.098, il_neg_dist=0.000, il_neg_high=0.399, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 3.1323, total 74.2269  alpha=[apa:0.155, apcpa:0.450, aptpa:0.395]
(T) | Epoch=031, loss=7.1796, con=6.6306, intent=2.4480, rec=0.0001, ilssc=4.6007, il_lam=0.0700, il_q=8, il_seed=0.980, il_sim=0.303, il_conn=0.000, il_dist=0.000, il_high=0.750, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.068, il_neg_dist=0.000, il_neg_high=0.451, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.6911, total 76.9180
(T) | Epoch=032, loss=7.2002, con=6.6301, intent=2.4467, rec=0.0001, ilssc=4.6821, il_lam=0.0733, il_q=8, il_seed=0.977, il_sim=0.278, il_conn=0.000, il_dist=0.000, il_high=0.782, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.073, il_neg_dist=0.000, il_neg_high=0.417, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.7707, total 79.6887
(T) | Epoch=033, loss=7.2037, con=6.6294, intent=2.4474, rec=0.0001, ilssc=4.5333, il_lam=0.0767, il_q=8, il_seed=0.978, il_sim=0.347, il_conn=0.001, il_dist=0.000, il_high=0.773, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.067, il_neg_dist=0.000, il_neg_high=0.434, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 3.2502, total 82.9389
(T) | Epoch=034, loss=7.2264, con=6.6250, intent=2.4427, rec=0.0001, ilssc=4.6911, il_lam=0.0800, il_q=8, il_seed=0.979, il_sim=0.270, il_conn=0.001, il_dist=0.000, il_high=0.772, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.073, il_neg_dist=0.000, il_neg_high=0.418, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.8514, total 85.7902
(T) | Epoch=035, loss=7.2326, con=6.6200, intent=2.4436, rec=0.0001, ilssc=4.6370, il_lam=0.0833, il_q=8, il_seed=0.979, il_sim=0.298, il_conn=0.000, il_dist=0.000, il_high=0.722, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.079, il_neg_dist=0.000, il_neg_high=0.429, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.6845, total 88.4747
(T) | Epoch=036, loss=7.2509, con=6.6191, intent=2.4359, rec=0.0001, ilssc=4.6907, il_lam=0.0867, il_q=8, il_seed=0.982, il_sim=0.281, il_conn=0.000, il_dist=0.000, il_high=0.762, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.068, il_neg_dist=0.000, il_neg_high=0.450, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 3.2945, total 91.7693
