[log] 运行日志写入: log/run_ACM_20260805_125419.log
[config] cand_sources=embed num_cand_per_node=0 cand_label_mode=soft lambda_cand_bce=0.0 lambda_ic_spnm=0.003 ic_spnm_pos=40 ic_spnm_neg=128 ic_spnm_hard_pool=1024 ic_spnm_pos_mode=mix ic_spnm_frontier_ratio=0.5 ic_spnm_frontier_hops=2 cs_topk=(5, 10, 20, 50, 'oracle') cs_w_list=(0.18, 0.2, 0.22, 0.24, 0.26) greedy_patience=1 greedy_min_gain_tol=0.0001 frontier_batch_size=2 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop include_query_in_pred=False eval_perturb=none:0.0 seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 2080 Ti
  [cs_full_graph] ACM: merged ['pap.npz', 'psp.npz'] -> 4359766 directed edges (no sparsify)
/root/miniconda3/lib/python3.8/site-packages/scipy/sparse/_index.py:146: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
  [sparsify] pap.npz: 57853 -> 30852 edges (avg_deg 14 -> 8, top-k=10)
  [sparsify] psp.npz: 4338213 -> 75790 edges (avg_deg 1079 -> 19, top-k=10)
[data] 多关系 R=2: pap(30852 edges), psp(75790 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=1 icra_heads=1 icra_dim=64
[IC-SPNM] 全量图邻接表就绪, lambda=0.003, pos=40 neg=128 B=4 pool=1024 pos_mode=mix frontier_ratio=0.5 frontier_hops=2 frontier_pool=128 intent_beta=1.5 struct_beta=1.0 susp_alpha=0.0
(T) | Epoch=067, loss=7.5013, con=7.2521, intent=2.4242, rec=0.0098, ic_spnm=5.1967, ic_q=4, ic_pos=0.985, ic_neg=0.533, ic_frontier=0.28, ic_hop=1.28, ic_pos_std=0.001, ic_uniq=38.8, this epoch 0.7562, total 53.7311
(T) | Epoch=068, loss=7.5496, con=7.3000, intent=2.4232, rec=0.0095, ic_spnm=5.3475, ic_q=4, ic_pos=0.986, ic_neg=0.558, ic_frontier=0.10, ic_hop=1.10, ic_pos_std=0.001, ic_uniq=38.2, this epoch 0.7722, total 54.5034
(T) | Epoch=069, loss=7.5761, con=7.3264, intent=2.4220, rec=0.0110, ic_spnm=5.1992, ic_q=4, ic_pos=0.986, ic_neg=0.514, ic_frontier=0.06, ic_hop=1.06, ic_pos_std=0.001, ic_uniq=39.2, this epoch 0.7699, total 55.2733
(T) | Epoch=070, loss=7.4952, con=7.2452, intent=2.4203, rec=0.0101, ic_spnm=5.0774, ic_q=4, ic_pos=0.986, ic_neg=0.496, ic_frontier=0.26, ic_hop=1.26, ic_pos_std=0.001, ic_uniq=38.8, this epoch 0.7467, total 56.0199  alpha=[pap:0.769, psp:0.231]
(T) | Epoch=071, loss=7.4138, con=7.1621, intent=2.4189, rec=0.0082, ic_spnm=5.3181, ic_q=4, ic_pos=0.986, ic_neg=0.518, ic_frontier=0.18, ic_hop=1.18, ic_pos_std=0.001, ic_uniq=38.5, this epoch 0.7543, total 56.7742
(T) | Epoch=072, loss=7.5004, con=7.2480, intent=2.4180, rec=0.0095, ic_spnm=5.2110, ic_q=4, ic_pos=0.986, ic_neg=0.506, ic_frontier=0.35, ic_hop=1.35, ic_pos_std=0.001, ic_uniq=37.2, this epoch 0.7284, total 57.5026
(T) | Epoch=073, loss=7.5778, con=7.3248, intent=2.4154, rec=0.0106, ic_spnm=5.4611, ic_q=4, ic_pos=0.987, ic_neg=0.586, ic_frontier=0.16, ic_hop=1.16, ic_pos_std=0.001, ic_uniq=38.2, this epoch 0.7478, total 58.2504
(T) | Epoch=074, loss=7.5745, con=7.3241, intent=2.4126, rec=0.0100, ic_spnm=5.0192, ic_q=4, ic_pos=0.988, ic_neg=0.474, ic_frontier=0.26, ic_hop=1.26, ic_pos_std=0.001, ic_uniq=38.0, this epoch 0.7529, total 59.0033
(T) | Epoch=075, loss=7.6059, con=7.3563, intent=2.4098, rec=0.0128, ic_spnm=5.0284, ic_q=4, ic_pos=0.989, ic_neg=0.496, ic_frontier=0.18, ic_hop=1.18, ic_pos_std=0.001, ic_uniq=39.2, this epoch 0.7468, total 59.7501
(T) | Epoch=076, loss=7.6826, con=7.4328, intent=2.4071, rec=0.0116, ic_spnm=5.2199, ic_q=4, ic_pos=0.990, ic_neg=0.599, ic_frontier=0.27, ic_hop=1.27, ic_pos_std=0.001, ic_uniq=40.0, this epoch 0.7406, total 60.4907
