[log] 运行日志写入: log/run_ACM_20260805_121929.log
[config] cand_sources=embed num_cand_per_node=0 cand_label_mode=soft lambda_cand_bce=0.0 lambda_ic_spnm=0.005 ic_spnm_pos=40 ic_spnm_neg=128 ic_spnm_hard_pool=1024 cs_topk=(5, 10, 20, 50, 'oracle') cs_w_list=(0.18, 0.2, 0.22, 0.24, 0.26) greedy_patience=1 greedy_min_gain_tol=0.0001 frontier_batch_size=2 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop include_query_in_pred=False eval_perturb=none:0.0 seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 2080 Ti
  [cs_full_graph] ACM: merged ['pap.npz', 'psp.npz'] -> 4359766 directed edges (no sparsify)
/root/miniconda3/lib/python3.8/site-packages/scipy/sparse/_index.py:146: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
  [sparsify] pap.npz: 57853 -> 30852 edges (avg_deg 14 -> 8, top-k=10)
  [sparsify] psp.npz: 4338213 -> 75790 edges (avg_deg 1079 -> 19, top-k=10)
[data] 多关系 R=2: pap(30852 edges), psp(75790 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=1 icra_heads=1 icra_dim=64
[IC-SPNM] 全量图邻接表就绪, lambda=0.005, pos=40 neg=128 B=4 pool=1024 intent_beta=1.5 struct_beta=1.0 susp_alpha=0.0
(T) | Epoch=042, loss=7.5660, con=7.3062, intent=2.4535, rec=0.0076, ic_spnm=5.0631, ic_q=4, ic_pos=0.983, ic_neg=0.405, this epoch 0.6734, total 31.3793
(T) | Epoch=043, loss=7.5691, con=7.3092, intent=2.4518, rec=0.0068, ic_spnm=5.1021, ic_q=4, ic_pos=0.984, ic_neg=0.383, this epoch 0.6712, total 32.0505
(T) | Epoch=044, loss=7.4736, con=7.2151, intent=2.4502, rec=0.0067, ic_spnm=4.7678, ic_q=4, ic_pos=0.985, ic_neg=0.378, this epoch 0.6829, total 32.7334
(T) | Epoch=045, loss=7.3653, con=7.1039, intent=2.4524, rec=0.0051, ic_spnm=5.0541, ic_q=4, ic_pos=0.984, ic_neg=0.339, this epoch 0.6811, total 33.4145
(T) | Epoch=046, loss=7.4492, con=7.1852, intent=2.4561, rec=0.0064, ic_spnm=5.1028, ic_q=4, ic_pos=0.983, ic_neg=0.354, this epoch 0.6767, total 34.0911
(T) | Epoch=047, loss=7.5071, con=7.2425, intent=2.4586, rec=0.0064, ic_spnm=5.0258, ic_q=4, ic_pos=0.982, ic_neg=0.348, this epoch 0.6789, total 34.7700
(T) | Epoch=048, loss=7.3999, con=7.1345, intent=2.4576, rec=0.0076, ic_spnm=5.2090, ic_q=4, ic_pos=0.981, ic_neg=0.386, this epoch 0.6770, total 35.4470
(T) | Epoch=049, loss=7.4279, con=7.1638, intent=2.4559, rec=0.0080, ic_spnm=5.0819, ic_q=4, ic_pos=0.984, ic_neg=0.364, this epoch 0.6791, total 36.1261
(T) | Epoch=050, loss=7.5906, con=7.3272, intent=2.4530, rec=0.0088, ic_spnm=5.0400, ic_q=4, ic_pos=0.982, ic_neg=0.397, this epoch 0.6814, total 36.8075  alpha=[pap:0.787, psp:0.213]
(T) | Epoch=051, loss=7.6244, con=7.3620, intent=2.4484, rec=0.0072, ic_spnm=5.0351, ic_q=4, ic_pos=0.982, ic_neg=0.389, this epoch 0.6730, total 37.4805
(T) | Epoch=052, loss=7.5284, con=7.2671, intent=2.4438, rec=0.0085, ic_spnm=4.9460, ic_q=4, ic_pos=0.984, ic_neg=0.407, this epoch 0.6783, total 38.1588
(T) | Epoch=053, loss=7.5101, con=7.2491, intent=2.4394, rec=0.0081, ic_spnm=5.1463, ic_q=4, ic_pos=0.986, ic_neg=0.368, this epoch 0.6769, total 38.8357
(T) | Epoch=054, loss=7.5800, con=7.3200, intent=2.4368, rec=0.0076, ic_spnm=5.1092, ic_q=4, ic_pos=0.987, ic_neg=0.433, this epoch 0.6747, total 39.5104
(T) | Epoch=055, loss=7.5881, con=7.3287, intent=2.4341, rec=0.0070, ic_spnm=4.9587, ic_q=4, ic_pos=0.986, ic_neg=0.413, this epoch 0.6802, total 40.1906
(T) | Epoch=056, loss=7.6374, con=7.3775, intent=2.4322, rec=0.0068, ic_spnm=4.8915, ic_q=4, ic_pos=0.987, ic_neg=0.406, this epoch 0.6922, total 40.8828
(T) | Epoch=057, loss=7.7462, con=7.4852, intent=2.4312, rec=0.0088, ic_spnm=4.9267, ic_q=4, ic_pos=0.987, ic_neg=0.482, this epoch 0.6851, total 41.5679
(T) | Epoch=058, loss=7.7802, con=7.5187, intent=2.4288, rec=0.0077, ic_spnm=5.1017, ic_q=4, ic_pos=0.987, ic_neg=0.537, this epoch 0.6718, total 42.2396
(T) | Epoch=059, loss=7.7243, con=7.4637, intent=2.4260, rec=0.0087, ic_spnm=5.1509, ic_q=4, ic_pos=0.988, ic_neg=0.584, this epoch 0.6869, total 42.9265
(T) | Epoch=060, loss=7.6642, con=7.4069, intent=2.4236, rec=0.0073, ic_spnm=4.7967, ic_q=4, ic_pos=0.988, ic_neg=0.472, this epoch 0.6797, total 43.6062  alpha=[pap:0.711, psp:0.289]
(T) | Epoch=061, loss=7.6678, con=7.4103, intent=2.4228, rec=0.0106, ic_spnm=4.9428, ic_q=4, ic_pos=0.988, ic_neg=0.451, this epoch 0.7198, total 44.3260
(T) | Epoch=062, loss=7.6703, con=7.4124, intent=2.4227, rec=0.0100, ic_spnm=5.0688, ic_q=4, ic_pos=0.988, ic_neg=0.536, this epoch 0.6721, total 44.9980
(T) | Epoch=063, loss=7.6253, con=7.3675, intent=2.4229, rec=0.0101, ic_spnm=5.0280, ic_q=4, ic_pos=0.989, ic_neg=0.525, this epoch 0.6785, total 45.6766
(T) | Epoch=064, loss=7.5893, con=7.3299, intent=2.4240, rec=0.0104, ic_spnm=5.2327, ic_q=4, ic_pos=0.987, ic_neg=0.545, this epoch 0.6740, total 46.3506
(T) | Epoch=065, loss=7.5819, con=7.3224, intent=2.4241, rec=0.0122, ic_spnm=5.1306, ic_q=4, ic_pos=0.987, ic_neg=0.469, this epoch 0.6767, total 47.0273
(T) | Epoch=066, loss=7.5610, con=7.3005, intent=2.4244, rec=0.0098, ic_spnm=5.3540, ic_q=4, ic_pos=0.985, ic_neg=0.595, this epoch 0.6713, total 47.6986
(T) | Epoch=067, loss=7.5255, con=7.2658, intent=2.4233, rec=0.0102, ic_spnm=5.2480, ic_q=4, ic_pos=0.986, ic_neg=0.556, this epoch 0.6725, total 48.3711
(T) | Epoch=068, loss=7.5277, con=7.2690, intent=2.4216, rec=0.0115, ic_spnm=5.1029, ic_q=4, ic_pos=0.986, ic_neg=0.512, this epoch 0.6757, total 49.0468
(T) | Epoch=069, loss=7.5421, con=7.2828, intent=2.4201, rec=0.0117, ic_spnm=5.1172, ic_q=4, ic_pos=0.987, ic_neg=0.488, this epoch 0.6819, total 49.7288
(T) | Epoch=070, loss=7.4871, con=7.2278, intent=2.4181, rec=0.0101, ic_spnm=4.9932, ic_q=4, ic_pos=0.987, ic_neg=0.495, this epoch 0.6715, total 50.4003  alpha=[pap:0.747, psp:0.253]
(T) | Epoch=071, loss=7.3838, con=7.1224, intent=2.4167, rec=0.0081, ic_spnm=5.2780, ic_q=4, ic_pos=0.987, ic_neg=0.491, this epoch 0.6699, total 51.0702
(T) | Epoch=072, loss=7.4534, con=7.1902, intent=2.4158, rec=0.0102, ic_spnm=5.4030, ic_q=4, ic_pos=0.988, ic_neg=0.502, this epoch 0.6800, total 51.7502
(T) | Epoch=073, loss=7.6017, con=7.3382, intent=2.4140, rec=0.0105, ic_spnm=5.4150, ic_q=4, ic_pos=0.987, ic_neg=0.648, this epoch 0.6716, total 52.4218
(T) | Epoch=074, loss=7.6233, con=7.3627, intent=2.4110, rec=0.0094, ic_spnm=5.0427, ic_q=4, ic_pos=0.989, ic_neg=0.477, this epoch 0.6750, total 53.0968
(T) | Epoch=075, loss=7.5686, con=7.3097, intent=2.4079, rec=0.0118, ic_spnm=4.8842, ic_q=4, ic_pos=0.990, ic_neg=0.448, this epoch 0.6734, total 53.7702
(T) | Epoch=076, loss=7.5766, con=7.3161, intent=2.4050, rec=0.0105, ic_spnm=5.3099, ic_q=4, ic_pos=0.991, ic_neg=0.549, this epoch 0.6799, total 54.4501
(T) | Epoch=077, loss=7.6350, con=7.3753, intent=2.4030, rec=0.0123, ic_spnm=5.0466, ic_q=4, ic_pos=0.991, ic_neg=0.551, this epoch 0.6719, total 55.1219
(T) | Epoch=078, loss=7.6054, con=7.3460, intent=2.4009, rec=0.0107, ic_spnm=4.9379, ic_q=4, ic_pos=0.991, ic_neg=0.497, this epoch 0.6680, total 55.7899
(T) | Epoch=079, loss=7.5075, con=7.2468, intent=2.4002, rec=0.0102, ic_spnm=5.2869, ic_q=4, ic_pos=0.992, ic_neg=0.533, this epoch 0.6835, total 56.4734
(T) | Epoch=080, loss=7.5835, con=7.3251, intent=2.3996, rec=0.0091, ic_spnm=5.0721, ic_q=4, ic_pos=0.992, ic_neg=0.488, this epoch 0.6918, total 57.1651  alpha=[pap:0.775, psp:0.225]
(T) | Epoch=081, loss=7.7264, con=7.4694, intent=2.4008, rec=0.0098, ic_spnm=5.1561, ic_q=4, ic_pos=0.991, ic_neg=0.531, this epoch 0.7201, total 57.8852
(T) | Epoch=082, loss=7.8060, con=7.5492, intent=2.4016, rec=0.0126, ic_spnm=5.2193, ic_q=4, ic_pos=0.990, ic_neg=0.534, this epoch 0.6689, total 58.5541
(T) | Epoch=083, loss=7.7565, con=7.4981, intent=2.4017, rec=0.0154, ic_spnm=5.4510, ic_q=4, ic_pos=0.991, ic_neg=0.526, this epoch 0.6745, total 59.2286
(T) | Epoch=084, loss=7.5873, con=7.3303, intent=2.3998, rec=0.0126, ic_spnm=5.2336, ic_q=4, ic_pos=0.991, ic_neg=0.517, this epoch 0.6716, total 59.9003
(T) | Epoch=085, loss=7.4914, con=7.2356, intent=2.3982, rec=0.0101, ic_spnm=5.0514, ic_q=4, ic_pos=0.990, ic_neg=0.563, this epoch 0.6677, total 60.5680
(T) | Epoch=086, loss=7.5526, con=7.2970, intent=2.3977, rec=0.0084, ic_spnm=4.9386, ic_q=4, ic_pos=0.992, ic_neg=0.427, this epoch 0.6779, total 61.2459
(T) | Epoch=087, loss=7.6195, con=7.3637, intent=2.3982, rec=0.0077, ic_spnm=4.7848, ic_q=4, ic_pos=0.991, ic_neg=0.458, this epoch 0.6792, total 61.9251
(T) | Epoch=088, loss=7.6005, con=7.3408, intent=2.3979, rec=0.0073, ic_spnm=5.3382, ic_q=4, ic_pos=0.991, ic_neg=0.482, this epoch 0.6734, total 62.5985
